"","STATE","EVTYPE","Year","Month","FATALITIES","INJURIES","PROPDMG","CROPDMG"
"109","MS","TSTM WIND",1963,"Jan",0,0,0,0
"110","NC","TSTM WIND",1963,"Jan",0,0,0,0
"111","SC","TSTM WIND",1963,"Jan",0,0,0,0
"112","TN","TSTM WIND",1963,"Jan",0,0,0,0
"113","AR","HAIL",1964,"Jan",0,0,0,0
"114","CA","HAIL",1964,"Jan",0,0,0,0
"115","IA","HAIL",1964,"Jan",0,0,0,0
"116","IL","HAIL",1964,"Jan",0,0,0,0
"117","LA","HAIL",1964,"Jan",0,0,0,0
"118","MO","HAIL",1964,"Jan",0,0,0,0
"119","MS","HAIL",1964,"Jan",0,0,0,0
"120","AL","TORNADO",1964,"Jan",10,6,275,0
"121","AR","TORNADO",1964,"Jan",0,2,500,0
"122","CA","TORNADO",1964,"Jan",0,0,2.5,0
"123","FL","TORNADO",1964,"Jan",0,0,7.53,0
"124","KY","TORNADO",1964,"Jan",0,2,52.5,0
"125","GA","TSTM WIND",1964,"Jan",0,0,0,0
"126","IL","TSTM WIND",1964,"Jan",0,0,0,0
"127","MO","TSTM WIND",1964,"Jan",0,0,0,0
"128","MS","TSTM WIND",1964,"Jan",0,0,0,0
"129","NC","TSTM WIND",1964,"Jan",0,0,0,0
"130","TN","TSTM WIND",1964,"Jan",0,0,0,0
"131","GA","HAIL",1965,"Jan",0,0,0,0
"132","MO","HAIL",1965,"Jan",0,0,0,0
"133","AR","TORNADO",1965,"Jan",0,0,5,0
"134","IN","TORNADO",1965,"Jan",0,2,27.5,0
"135","LA","TORNADO",1965,"Jan",0,2,545,0
"136","MO","TORNADO",1965,"Jan",0,0,0.03,0
"137","MS","TORNADO",1965,"Jan",0,5,27.5,0
"138","NC","TORNADO",1965,"Jan",0,0,2.5,0
"139","TX","TORNADO",1965,"Jan",0,0,27.5,0
"140","FL","TSTM WIND",1965,"Jan",0,0,0,0
"141","GA","TSTM WIND",1965,"Jan",0,0,0,0
"142","LA","TSTM WIND",1965,"Jan",0,0,0,0
"143","MS","TSTM WIND",1965,"Jan",0,0,0,0
"144","NC","TSTM WIND",1965,"Jan",0,0,0,0
"145","OH","TSTM WIND",1965,"Jan",0,0,0,0
"146","PA","TSTM WIND",1965,"Jan",0,0,0,0
"147","LA","TORNADO",1966,"Jan",0,0,25,0
"148","LA","TSTM WIND",1966,"Jan",0,0,0,0
"149","TX","TSTM WIND",1966,"Jan",0,0,0,0
"150","IA","HAIL",1967,"Jan",0,0,0,0
"151","IL","HAIL",1967,"Jan",0,0,0,0
"152","KS","HAIL",1967,"Jan",0,0,0,0
"153","MO","HAIL",1967,"Jan",0,0,0,0
"154","OK","HAIL",1967,"Jan",0,0,0,0
"155","DE","TORNADO",1967,"Jan",0,7,250,0
